,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
299,105630,KR7105630008,한세실업,KOSPI,,19720,1,350,1.81,19490,19740,19110,85992,1688404730,788800000000,40000000,STK
300,003850,KR7003850005,보령,KOSPI,,11460,2,-40,-0.35,11470,11900,11400,507612,5887638300,787187400000,68690000,STK
301,023590,KR7023590003,다우기술,KOSPI,,17400,2,-260,-1.47,17820,17830,17370,32459,567388840,780679135800,44866617,STK
302,001060,KR7001060003,JW중외제약,KOSPI,,34050,2,-2050,-5.68,35950,36100,33750,221333,7598655000,777532975800,22835036,STK
303,000400,KR7000400002,롯데손해보험,KOSPI,,2485,2,-15,-0.6,2500,2500,2450,246807,609313010,771185755200,310336320,STK
304,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,20200,3,0,0.0,20400,20450,19880,98233,1969645450,767275951600,37983958,KSQ
305,114090,KR7114090004,GKL,KOSPI,,12380,2,-270,-2.13,12700,12700,12380,211299,2632874580,765773194600,61855670,STK
306,086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,17190,2,-780,-4.34,17960,17960,17180,330794,5754930460,764267400000,44460000,KSQ
307,002350,KR7002350007,넥센타이어,KOSPI,,7820,2,-80,-1.01,7820,7920,7730,105929,825007120,763762798140,97667877,STK
308,336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,8650,2,-180,-2.04,8910,8980,8580,618899,5379523350,762704364750,88173915,KSQ
309,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,40800,2,-1050,-2.51,41900,42650,40800,288528,11950465650,762436495200,18687169,KSQ
310,178920,KR7178920005,PI첨단소재,KOSPI,,25900,2,-600,-2.26,26550,26650,25700,60875,1579743150,760587739800,29366322,STK
311,365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,3560,2,-60,-1.66,3615,3675,3550,247169,883973805,758596840000,213089000,STK
312,016380,KR7016380008,KG스틸,KOSPI,,7580,2,-130,-1.69,7660,7700,7530,410140,3111809260,758067439260,100008897,STK
313,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,34150,2,-1800,-5.01,36150,36200,33700,729878,25121426450,757356844000,22177360,KSQ
314,418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,23950,2,-850,-3.43,24650,24900,23950,147120,3561212050,756000263350,31565773,KSQ
315,010780,KR7010780005,아이에스동서,KOSPI,,24450,2,-900,-3.55,25350,25400,24450,60886,1506203350,755324216700,30892606,STK
316,003530,KR7003530003,한화투자증권,KOSPI,,3520,1,50,1.44,3465,3580,3400,6333268,22055126895,755208168000,214547775,STK
317,178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,19950,1,110,0.55,19840,20200,19490,503330,10064181970,749733807900,37580642,KSQ
318,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,42950,2,-1550,-3.48,44650,44650,41900,112622,4811180050,747278760650,17398807,KSQ
319,099190,KR7099190001,아이센스,KOSDAQ,우량기업부,27150,2,-1050,-3.72,28150,28500,26950,314331,8642199700,747121111950,27518273,KSQ
320,189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,69500,2,-2500,-3.47,72500,72900,69400,116667,8214810800,745966713000,10733334,KSQ
321,001430,KR7001430008,세아베스틸지주,KOSPI,,20800,2,-600,-2.8,21450,21500,20700,120244,2525511800,745932075200,35862119,STK
322,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,21650,2,-800,-3.56,22650,23300,21250,10533366,233891851850,745687334450,34442833,KSQ
323,066575,KR7066571001,LG전자우,KOSPI,,43000,2,-300,-0.69,43300,43450,42250,43130,1837385150,738997656000,17185992,STK
324,330590,KR7330590001,롯데리츠,KOSPI,,3025,2,-40,-1.31,3065,3070,3010,170463,516836005,734980874100,242968884,STK
325,376300,KR7376300000,디어유,KOSDAQ,기술성장기업부,30950,2,-2000,-6.07,33150,33350,30900,137286,4334045550,734703665700,23738406,KSQ
326,025540,KR7025540006,한국단자,KOSPI,,69900,2,-2200,-3.05,72000,72000,69700,29376,2064924600,728008500000,10415000,STK
